prompt,a,b,solution,carry_u,carry_d,completion,prediction,correct,bin
"2163+922=3085
2108+4135=6243
542+4828=5370
0+0=",0,0,0,False,False,"2163+922=3085
2108+4135=6243
542+4828=5370
0+0=0
12",0,True,"[0, 100)"
"127+4160=4287
2514+3937=6451
4998+2364=7362
0+0=",0,0,0,False,False,"127+4160=4287
2514+3937=6451
4998+2364=7362
0+0=0
12",0,True,"[0, 100)"
"1352+998=2350
2856+2092=4948
2819+4189=7008
0+1=",0,1,1,False,False,"1352+998=2350
2856+2092=4948
2819+4189=7008
0+1=1
1+",1,True,"[0, 100)"
"205+4842=5047
2839+183=3022
920+4428=5348
0+1=",0,1,1,False,False,"205+4842=5047
2839+183=3022
920+4428=5348
0+1=1
1+",1,True,"[0, 100)"
"3204+802=4006
2879+2780=5659
1032+4597=5629
1+1=",1,1,2,False,False,"3204+802=4006
2879+2780=5659
1032+4597=5629
1+1=2
1+",2,True,"[0, 100)"
"1550+4572=6122
3790+1138=4928
1845+1196=3041
1+1=",1,1,2,False,False,"1550+4572=6122
3790+1138=4928
1845+1196=3041
1+1=2
1+",2,True,"[0, 100)"
"1739+2128=3867
721+1089=1810
4528+2993=7521
2+1=",2,1,3,False,False,"1739+2128=3867
721+1089=1810
4528+2993=7521
2+1=3
1+",3,True,"[0, 100)"
"4276+585=4861
1809+3238=5047
2662+933=3595
1+2=",1,2,3,False,False,"4276+585=4861
1809+3238=5047
2662+933=3595
1+2=3
3+",3,True,"[0, 100)"
"4451+2705=7156
4356+601=4957
2804+4366=7170
1+3=",1,3,4,False,False,"4451+2705=7156
4356+601=4957
2804+4366=7170
1+3=4
4+",4,True,"[0, 100)"
"1230+4549=5779
3411+660=4071
1043+4749=5792
3+1=",3,1,4,False,False,"1230+4549=5779
3411+660=4071
1043+4749=5792
3+1=4
1+",4,True,"[0, 100)"
"1723+4534=6257
2188+2479=4667
3280+2333=5613
2+3=",2,3,5,False,False,"1723+4534=6257
2188+2479=4667
3280+2333=5613
2+3=5
5+",5,True,"[0, 100)"
"4814+123=4937
1560+3589=5149
154+3652=3806
0+5=",0,5,5,False,False,"4814+123=4937
1560+3589=5149
154+3652=3806
0+5=5
12",5,True,"[0, 100)"
"267+2465=2732
1028+597=1625
207+1045=1252
2+4=",2,4,6,False,False,"267+2465=2732
1028+597=1625
207+1045=1252
2+4=6
10",6,True,"[0, 100)"
"4605+1041=5646
2241+1033=3274
1758+3508=5266
3+3=",3,3,6,False,False,"4605+1041=5646
2241+1033=3274
1758+3508=5266
3+3=6
1+",6,True,"[0, 100)"
"3336+4519=7855
4627+4187=8814
2205+4614=6819
5+2=",5,2,7,False,False,"3336+4519=7855
4627+4187=8814
2205+4614=6819
5+2=7
7+",7,True,"[0, 100)"
"3954+4520=8474
2380+1099=3479
2025+4336=6361
4+3=",4,3,7,False,False,"3954+4520=8474
2380+1099=3479
2025+4336=6361
4+3=7
1+",7,True,"[0, 100)"
"1070+4751=5821
1477+1591=3068
1274+3139=4413
0+8=",0,8,8,False,False,"1070+4751=5821
1477+1591=3068
1274+3139=4413
0+8=8
10",8,True,"[0, 100)"
"1144+4190=5334
943+4062=5005
4109+117=4226
0+8=",0,8,8,False,False,"1144+4190=5334
943+4062=5005
4109+117=4226
0+8=8
10",8,True,"[0, 100)"
"970+4037=5007
2804+348=3152
2801+73=2874
6+3=",6,3,9,False,False,"970+4037=5007
2804+348=3152
2801+73=2874
6+3=9
10",9,True,"[0, 100)"
"1457+544=2001
2514+366=2880
2378+1598=3976
2+7=",2,7,9,False,False,"1457+544=2001
2514+366=2880
2378+1598=3976
2+7=9
9+",9,True,"[0, 100)"
"4245+478=4723
1230+1102=2332
2320+541=2861
7+3=",7,3,10,True,False,"4245+478=4723
1230+1102=2332
2320+541=2861
7+3=10
1",10,True,"[0, 100)"
"2907+3250=6157
3498+1295=4793
1219+3177=4396
9+1=",9,1,10,True,False,"2907+3250=6157
3498+1295=4793
1219+3177=4396
9+1=10
1",10,True,"[0, 100)"
"4496+3807=8303
641+1011=1652
2829+2706=5535
3+8=",3,8,11,True,False,"4496+3807=8303
641+1011=1652
2829+2706=5535
3+8=11
1",11,True,"[0, 100)"
"2303+544=2847
2488+2829=5317
1832+4514=6346
6+5=",6,5,11,True,False,"2303+544=2847
2488+2829=5317
1832+4514=6346
6+5=11
1",11,True,"[0, 100)"
"1413+1045=2458
131+3194=3325
3991+188=4179
4+8=",4,8,12,True,False,"1413+1045=2458
131+3194=3325
3991+188=4179
4+8=12
1",12,True,"[0, 100)"
"4499+2316=6815
1952+339=2291
3862+1122=4984
11+1=",11,1,12,False,False,"4499+2316=6815
1952+339=2291
3862+1122=4984
11+1=12
1",12,True,"[0, 100)"
"295+1928=2223
903+4181=5084
1300+456=1756
11+2=",11,2,13,False,False,"295+1928=2223
903+4181=5084
1300+456=1756
11+2=13
1",13,True,"[0, 100)"
"759+1670=2429
3326+482=3808
2523+4236=6759
5+8=",5,8,13,True,False,"759+1670=2429
3326+482=3808
2523+4236=6759
5+8=13
1",13,True,"[0, 100)"
"2946+3671=6617
4440+4746=9186
3090+823=3913
12+2=",12,2,14,False,False,"2946+3671=6617
4440+4746=9186
3090+823=3913
12+2=14
1",14,True,"[0, 100)"
"1121+942=2063
2977+1973=4950
2469+3242=5711
0+14=",0,14,14,False,False,"1121+942=2063
2977+1973=4950
2469+3242=5711
0+14=14
1",14,True,"[0, 100)"
"2066+2975=5041
417+245=662
1592+996=2588
2+13=",2,13,15,False,False,"2066+2975=5041
417+245=662
1592+996=2588
2+13=15
1",15,True,"[0, 100)"
"389+1555=1944
2216+3164=5380
3296+792=4088
13+2=",13,2,15,False,False,"389+1555=1944
2216+3164=5380
3296+792=4088
13+2=15
1",15,True,"[0, 100)"
"176+1659=1835
3848+2679=6527
255+1517=1772
15+1=",15,1,16,False,False,"176+1659=1835
3848+2679=6527
255+1517=1772
15+1=16
1",16,True,"[0, 100)"
"4442+2897=7339
1229+2024=3253
2969+727=3696
10+6=",10,6,16,False,False,"4442+2897=7339
1229+2024=3253
2969+727=3696
10+6=16
1",16,True,"[0, 100)"
"2687+538=3225
1379+73=1452
258+2460=2718
11+6=",11,6,17,False,False,"2687+538=3225
1379+73=1452
258+2460=2718
11+6=17
1",17,True,"[0, 100)"
"1153+4414=5567
2129+2806=4935
1756+651=2407
13+4=",13,4,17,False,False,"1153+4414=5567
2129+2806=4935
1756+651=2407
13+4=17
1",17,True,"[0, 100)"
"1320+2927=4247
881+461=1342
3507+3438=6945
13+5=",13,5,18,False,False,"1320+2927=4247
881+461=1342
3507+3438=6945
13+5=18
1",18,True,"[0, 100)"
"4459+3443=7902
2075+553=2628
1454+2357=3811
14+4=",14,4,18,False,False,"4459+3443=7902
2075+553=2628
1454+2357=3811
14+4=18
1",18,True,"[0, 100)"
"4219+4355=8574
4176+2932=7108
1221+4222=5443
4+15=",4,15,19,False,False,"4219+4355=8574
4176+2932=7108
1221+4222=5443
4+15=19
1",19,True,"[0, 100)"
"3250+1571=4821
1144+3628=4772
3304+3541=6845
14+5=",14,5,19,False,False,"3250+1571=4821
1144+3628=4772
3304+3541=6845
14+5=19
1",19,True,"[0, 100)"
